code,id,name,name_en,description,description_en,meal_item_codes,zone,rating,max_day_frequency,max_week_frequency,max_month_frequency,meal_type_ids,active,image_url
M001,,صيام,Sunnah Fasting,,,,1,5,1,2,11,1,TRUE,
M002,,توست قمح كامل + زبدة بلدي + عسل طبيعي,Whole wheat toast + country butter + natural honey,,,"CB10,DF01,SW04",1,5,1,7,30,1,TRUE,
M003,,ارز ابيض + بطاطس مسلوقة  + زبدة بلدى,Mashed potatoes + country butter,,,"CB01,CB07,DF01",1,5,1,7,30,1,TRUE,
M004,,ارز ابيض + بطاطس مقلية  + زبدة بلدى,,,,"CB01,CB08,DF01",1,5,1,7,30,1,,
M005,,توست قمح كامل + جبنة جودة + زيتون كالاماتا,Whole wheat toast + Gouda cheese + Kalamata olives,,,"CB10,CH01,OL01",2,4,1,5,20,1,TRUE,
M006,,بطاطا حلوة مشوية + عسل اسود + سمن بلدي,Roasted sweet potato + country ghee,,,"CB05,SW03,DF02",2,5,1,7,30,1,TRUE,
M007,,توست قمح كامل + نوتيلا,Whole wheat toast + Nutella,,,"CB10,SW08",2,4,1,5,20,1,TRUE,
M008,,توست قمح كامل  + مربى تين,Whole wheat toast + country butter + natural fig jam,,,"CB10,SW05",3,4,1,5,20,1,TRUE,
M009,,توست قمح كامل + جبنة شيدر + زيتون كالاماتا,Whole wheat toast + Cheddar cheese + Kalamata olives,,,"CB10,CH02,OL01",2,4,1,5,20,1,TRUE,
M010,,توست قمح كامل + بطاطس مسلوقة + سمن بلدي,Boiled potatoes + country ghee,,,"CB10,CB07,DF02",1,5,1,7,30,1,TRUE,
M011,,بطاطا حلوة مهروسة + قشطة طبيعية,Mashed sweet potato + country butter + black honey,,,"CB06,DF03",2,5,1,7,30,1,TRUE,
M012,,توست قمح كامل + زبدة بلدي + مربى مشمش,Whole wheat toast + country butter + natural apricot jam,,,"CB10,DF01,FR11",2,4,1,5,20,1,TRUE,
M013,,بطاطس مسلوقة + زيت زيتون + عسل طبيعى,Boiled potatoes + country butter,,,"CB07,OI01,SW04",1,5,1,7,30,1,TRUE,
M014,,توست قمح كامل + جبنة فلمنك + زيتون كالاماتا,Whole wheat toast + Edam cheese + Kalamata olives,,,"CB10,CH03,OL01",2,4,1,5,20,1,TRUE,
M015,,توست قمح كامل + جبنة ريكفورد +   زيت زيتون,,,,"CB10,CH05,OI01",1,5,1,7,30,1,,
M016,,توست قمح كامل + جبنة موتزاريلا + زيتون كالاماتا,Whole wheat toast + Mozzarella cheese + Kalamata olives,,,"CB10,CH04,OL01",2,4,1,5,20,1,TRUE,
M017,,بطاطا حلوة مهروسة + سمن بلدي + عصير جوافة,Mashed sweet potato + country ghee + natural canned guava juice,,,"CB06,DF02,FR07",2,5,1,7,30,1,TRUE,
M018,,توست قمح كامل + زبدة بلدي + مربى فراولة,Whole wheat toast + country butter + natural strawberry jam,,,"CB10,DF01,FR09",2,4,1,5,20,1,TRUE,
M019,,بطاطا حلوة مشوية +  تمر + زبدة,Roasted sweet potato + country ghee + black honey,,,"CB05,FR03,DF01",2,5,1,7,30,1,TRUE,
M020,,أرز أبيض + لحم بتلو مسلوق,White rice + boiled beef,,,"CB01,MT07",2,5,1,7,30,2,TRUE,
M021,,أرز أبيض + كبدة مسلوقة,White rice + boiled liver,,,"CB01,MT02",2,5,1,7,30,2,TRUE,
M022,,أرز بسمتي + سمك سردين  مشوي,Basmati rice + grilled sea sardine,,,"CB04,FS02",2,5,1,7,30,2,TRUE,
M023,,أرز أبيض + لحم ضأن مشوي,White rice + grilled lamb,,,"CB01,MT09",2,4,1,5,20,2,TRUE,
M024,,أرز أبيض + لحم إبل مسلوق,White rice + boiled camel meat,,,"CB01,MT06",2,5,1,7,30,2,TRUE,
M025,,أرز بالشعيرية + حمام مشوي,Vermicelli rice + grilled pigeon,,,"CB02,BD02",2,5,1,7,30,2,TRUE,
M026,,تمر + ماء دافئ + أرز أبيض + لحم بتلو مسلوق,Dates + warm water + white rice + boiled beef (fasting),,,"FR03,DR03,CB01,MT07",1,5,1,7,30,2,TRUE,
M027,,أرز أبيض + سمك ماكريل بحري مشوي,White rice + grilled sea mackerel,,,"CB01,FS03",2,5,1,7,30,2,TRUE,
M028,,محشي كوسا وفلفل بالأرز,Stuffed zucchini and pepper with rice,,,MT12,4,3,1,3,12,2,TRUE,
M029,,أرز أبيض + سمان مشوي,White rice + grilled quail,,,"CB01,BD03",2,5,1,7,30,2,TRUE,
M030,,أرز أبيض + لحم أرانب مسلوق,White rice + boiled rabbit,,,"CB01,MT05",2,5,1,7,30,2,TRUE,
M031,,تمر  + أرز أبيض + لحم إبل مسلوق,Dates + warm water + white rice + boiled camel (fasting),,,"FR03,CB01,MT06",1,5,1,7,30,2,TRUE,
M032,,أرز بالشعيرية + لحم ضأن مشوي,Vermicelli rice + grilled lamb,,,"CB02,MT09",2,4,1,5,20,2,TRUE,
M033,,أرز أبيض + حمام محشى,White rice + grilled pigeon,,,"CB01,BD01",2,4,1,5,20,2,TRUE,
M034,,ممبار محشى + شوربة لحم,,,,"MT13,MT01",3,4,1,5,20,,,
M035,,أرز بسمتي + سمان,Basmati rice + grilled sea mackerel,,,"CB04,BD03",2,5,1,7,30,2,TRUE,
M036,,أرز أبيض + لحم ماعز مسلوق + بطاطس مقلية,White rice + boiled goat meat,,,"CB01,MT10,CB08",1,5,1,7,30,2,TRUE,
M037,,تمر + ماء دافئ + أرز بالمكسرات + كفتة خروف,Dates + warm water + rice with nuts + boiled camel (fasting),,,"FR03,DR03,CB03,MT04",2,5,1,7,30,2,TRUE,
M038,,أرز أبيض + تونة,White rice + grilled natural sea tuna,,,"CB01,FS01",2,5,1,7,30,2,TRUE,
M039,,أرز بسمتي + لحم ماعز مشوي,Basmati rice + grilled goat meat,,,"CB04,MT11",2,4,1,5,20,2,TRUE,
M040,,تمر + ماء دافئ + أرز أبيض + كوارع,White rice + boiled lamb,,,"FR03,DR03,CB01,MT14",1,5,1,7,30,2,TRUE,
M041,,ارز ابيض + كفتة  لحم بقرى,Dates + warm water + white rice + grilled pigeon (fasting),,,"CB01,MT03",2,4,1,5,20,2,TRUE,
M042,,أرز بالمكسرات + لحم بتلو مسلوق,Rice with nuts + boiled beef,,,"CB03,MT07",3,4,1,5,20,2,TRUE,
M043,,تمر + شاي أخضر,Dates + green tea,,,"FR03,DR01",2,5,1,7,30,3,TRUE,
M044,,موز + عنب أسود,Banana + black grapes,,,"FR12,FR08",3,4,1,5,20,3,TRUE,
M045,,رمان طازج + موز,Fresh pomegranate + banana,,,"FR05,FR12",3,4,1,5,20,3,TRUE,
M046,,برقوق طازج + ينسون دافئ,Fresh plums + warm anise tea,,,"FR01,HB03",3,4,1,5,20,3,TRUE,
M047,,عنب أسود + قشطة طبيعية,Black grapes + natural cream,,,"FR08,DF03",2,5,1,7,30,3,TRUE,
M048,,تمر + قهوة تركية,Dates + Turkish coffee,,,"FR03,DR02",1,5,1,7,30,3,TRUE,
M049,,حلاوة طحينية غامقة,Dark tahini halva,,,SW01,3,3,1,3,12,3,TRUE,
M050,,موز + لوز وكاجو,Banana + almonds and cashews,,,"FR12,NT04,NT05",3,4,1,5,20,3,TRUE,
M051,,عنب أسود + كراوية دافئة,Black grapes + warm caraway tea,,,"FR08,HB02",3,4,1,5,20,3,TRUE,
M052,,فراولة طازجة + قشطة طبيعية,Fresh strawberries + natural cream,,,"FR09,DF03",2,4,1,5,20,3,TRUE,
M053,,فشار ذرة طبيعي + تمر,Natural popcorn + dates,,,"CB12,FR03",2,4,1,5,20,3,TRUE,
M054,,تفاح مقشّر + موز,Peeled apple + banana,,,"FR02,FR12",3,4,1,5,20,3,TRUE,
M055,,كرز طازج + شاي أخضر,Fresh cherries + green tea,,,"FR10,DR01",3,4,1,5,20,3,TRUE,
M056,,شاي أخضر + فستق + ذرة مشوية,Green tea + pistachios,,,"DR01,NT02,CB11",3,4,1,5,20,3,TRUE,
M057,,تمر + شاي زعتر,Dates + thyme tea,,,"FR03,HB01",2,5,1,7,30,3,TRUE,
M058,,تفاح مقشّر + قشطة طبيعية,Peeled apple + natural cream,,,"FR02,DF03",2,5,1,7,30,3,TRUE,
M059,,رمان طازج + لوز,Fresh pomegranate + almonds,,,"FR05,NT05",3,4,1,5,20,3,TRUE,
M060,,قشطة طبيعية بالعسل,Natural cream with honey,,,"DF03,SW04",1,5,1,7,30,3,TRUE,
M061,,تين طازج + موز,Fresh figs + banana,,,"FR04,FR12",3,4,1,5,20,3,TRUE,
M062,,عنب أسود + كاجو + ذرة مشوية,Black grapes + cashews,,,"FR08,NT04,CB11",3,4,1,5,20,3,TRUE,
M063,,تفاح مقشّر + زبيب,Peeled apple + raisins,,,"FR02,FR06",3,4,1,5,20,3,TRUE,
M064,,مشمش طازج + تمر,Fresh apricots + dates,,,"FR11,FR03",2,4,1,5,20,3,TRUE,
M065,,رمان طازج + فول سوداني,Fresh pomegranate + peanuts,,,"FR05,NT03",3,4,1,5,20,3,TRUE,
M066,,شاي أخضر + حلاوة طحينية,Green tea + dark tahini halva,,,"DR01,SW01",3,4,1,5,20,3,TRUE,
M067,,شوكولاتة داكنة 70% + لوز,Dark chocolate 70%+ + almonds,,,"SW02,NT05",3,4,1,5,20,3,TRUE,
M068,,بطاطا حلوة مشوية + قشطة طبيعية + تمر,Roasted sweet potato + natural cream + dates,,,"CB05,DF03,FR03",2,5,1,7,30,3,TRUE,
M069,,تمر + قهوة تركية + عسل أسود,Dates + Turkish coffee + black honey (molasses),,,"FR03,DR02,SW03",2,5,1,7,30,1,TRUE,
M070,,عسل طبيعي + شوكولاتة داكنة + قهوة تركية,Natural honey + dark chocolate + Turkish coffee,,,"SW04,SW02,DR02",2,5,1,7,30,1,TRUE,
M071,,موز + لوز وكاجو + شاي أخضر,Banana + almonds and cashews + green tea,,,"FR12,NT04,NT05,DR01",3,4,1,5,20,3,TRUE,
M072,,رمان طازج + لوز + شاي أخضر,Fresh pomegranate + almonds + green tea,,,"FR05,NT05,DR01",3,4,1,5,20,3,TRUE,
M073,,تمر + لوز + قشطة طبيعية,Dates + almonds + natural cream,,,"FR03,NT05,DF03",2,5,1,7,30,3,TRUE,
M074,,عنب أسود + قشطة طبيعية + عسل,Black grapes + natural cream + honey,,,"FR08,DF03,SW04",2,5,1,7,30,3,TRUE,
M075,,أرز أبيض + حبات ذرة مشوية + بطاطس مقلية + زبدة بلدي,White rice + roasted corn kernels + fried potatoes + country butter,,,"CB01,CB11,CB08,DF01",1,5,1,7,30,2,TRUE,
M076,,أرز أبيض + شوربة لحم + بطاطس مسلوقة,White rice + meat broth + boiled potatoes,,,"CB01,MT01,CB07",1,5,1,7,30,2,TRUE,
M077,,أرز أبيض + لحم ضأن مسلوق + بطاطس مقلية,White rice + grilled lamb + fried potatoes,,,"CB01,MT08,CB08",1,4,1,7,30,2,TRUE,
M078,,أرز أبيض + كفتة لحم بقري + بطاطس مسلوقة + شوربة لحم,White rice + beef kofta + boiled potatoes + meat broth,,,"CB01,MT03,CB07,MT01",2,5,1,7,30,2,TRUE,
M079,,أرز أبيض + كفتة لحم بقري + بطاطس مسلوقة + زيتون كالاماتا,White rice + beef kofta + boiled potatoes + Kalamata olives,,,"CB01,MT03,CB07,OL01",2,5,1,7,30,2,TRUE,
M080,,أرز أبيض + كفتة لحم خروف + بطاطس مسلوقة + زيتون كالاماتا,White rice + lamb kofta + boiled potatoes + Kalamata olives,,,"CB01,MT04,CB07,OL01",2,5,1,7,30,2,TRUE,
M081,,أرز أبيض + حمام محشي + بطاطس مقلية + زيتون كالاماتا,White rice + stuffed pigeon + fried potatoes + Kalamata olives,,,"CB01,BD01,CB08,OL01",2,4,1,5,20,2,TRUE,
M082,,أرز أبيض + سمك سردين بحري مشوي + بطاطس مقلية + زيتون كالاماتا,White rice + grilled sea sardine + fried potatoes + Kalamata olives,,,"CB01,FS02,CB08,OL01",2,5,1,7,30,2,TRUE,
M083,,أرز أبيض + شوربة لحم + بطاطس مسلوقة + زيتون كالاماتا,White rice + meat broth + boiled potatoes + Kalamata olives,,,"CB01,MT01,CB07,OL01",2,5,1,7,30,2,TRUE,
M084,,أرز أبيض + بطاطس مسلوقة + زيت زيتون + زيتون كالاماتا,White rice + boiled potatoes + olive oil + Kalamata olives,,,"CB01,CB07,OI01,OL01",1,5,1,7,30,2,TRUE,
M085,,أرز بسمتي + بطاطس مهروسة + جبنة جودة,Basmati rice + mashed potatoes + Gouda cheese,,,"CB04,CB09,CH01",1,5,1,7,30,2,TRUE,
M086,,أرز أبيض + سمك سردين بحري مشوي + بطاطس مسلوقة,White rice + grilled sea sardine + boiled potatoes,,,"CB01,FS02,CB07",1,5,1,7,30,2,TRUE,
