code,id,name,name_en,description,description_en,category,zone,rating,frequency,notes,image_url,active,max_day_frequency,max_week_frequency,max_month_frequency
CB01,1,أرز أبيض,White rice,,,1,1,5,,,,TRUE,2,14,60
CB02,3,أرز بالشعيرية,Vermicelli rice,,,1,1,5,,,,TRUE,2,14,60
CB03,4,أرز بالمكسرات,Rice with nuts,,,1,3,4,,,,TRUE,1,2,8
CB04,2,أرز بسمتي,Basmati rice,,,1,1,5,,,,TRUE,2,14,60
CB05,8,بطاطا حلوة مشوية,Roasted sweet potato,,,1,4,5,,,,TRUE,1,1,4
CB06,9,بطاطا حلوة مهروسة,Mashed sweet potato,,,1,4,5,,,,TRUE,1,1,4
CB07,6,بطاطس مسلوقة,Boiled potatoes,,,1,1,5,,,,TRUE,2,14,60
CB08,66,بطاطس مقلية,Fried potatoes,,,1,1,4,,,,TRUE,1,7,30
CB09,7,بطاطس مهروسة,Mashed potatoes,,,1,1,5,,,,TRUE,2,14,60
CB10,5,توست قمح كامل الحبة,Whole wheat toast,,,1,2,4,,,,TRUE,1,7,30
CB11,70,حبات ذرة مشوية,Roasted corn kernels,,,1,3,3,,,,TRUE,1,2,8
CB12,10,فشار ذرة طبيعي,Natural popcorn,,,1,3,3,,,,TRUE,1,2,8
MT01,65,شوربة لحم,Meat broth,,,2,3,4,,,,TRUE,1,2,8
MT02,18,كبدة مسلوقة,Boiled liver,,,2,3,4,,,,TRUE,1,2,8
MT03,67,كفتة لحم بقري,Beef kofta,,,2,3,3,,,,TRUE,1,2,8
MT04,68,كفتة لحم خروف,Lamb kofta,,,2,3,3,,,,TRUE,1,2,8
MT05,17,لحم أرانب مسلوق,Boiled rabbit,,,2,3,4,,,,TRUE,1,2,8
MT06,14,لحم إبل مسلوق,Boiled camel meat,,,2,3,4,,,,TRUE,1,2,8
MT07,11,لحم بتلو مسلوق,Boiled beef,,,2,3,4,,,,TRUE,1,2,8
MT08,13,لحم ضأن مسلوق,Boiled lamb,,,2,3,3,,,,TRUE,1,2,8
MT09,12,لحم ضأن مشوي,Grilled lamb,,,2,3,3,,,,TRUE,1,2,8
MT10,15,لحم ماعز مسلوق,Boiled goat meat,,,2,3,4,,,,TRUE,1,2,8
MT11,16,لحم ماعز مشوي,Grilled goat meat,,,2,3,3,,,,TRUE,1,2,8
MT12,19,محشي كوسا وباذنجان وفلفل بالأرز,Stuffed zucchini eggplant and pepper with rice,,,2,4,3,,,,TRUE,1,1,4
MT13,82,الممبار المحشي,Stuffed sausage casing,,,2,3,3,,,,TRUE,1,2,8
MT14,83,كوارع الأنعام المسلوقة,Boiled livestock trotters,,,2,3,3,,,,TRUE,1,2,8
FS01,22,تونة بحرية طبيعية مشوية,Grilled natural sea tuna,,,3,3,4,,,,TRUE,1,2,8
FS02,20,سمك سردين بحري مشوي,Grilled sea sardine,,,3,3,4,,,,TRUE,1,2,8
FS03,21,سمك ماكريل بحري مشوي,Grilled sea mackerel,,,3,3,4,,,,TRUE,1,2,8
BD01,69,حمام محشي,Stuffed pigeon,,,4,4,3,,,,TRUE,1,1,4
BD02,23,حمام مشوي,Grilled pigeon,,,4,3,4,,,,TRUE,1,2,8
BD03,24,سمان مشوي,Grilled quail,,,4,3,4,,,,TRUE,1,2,8
DF01,25,زبدة بلدي,Country butter,,,5,1,5,,,,TRUE,2,14,60
DF02,26,سمن بلدي,Country ghee,,,5,1,5,,,,TRUE,2,14,60
DF03,27,قشطة طبيعية,Natural cream,,,5,1,5,,,,TRUE,2,14,60
DF04,71,سكر طبيعي,Natural sugar,,,5,1,4,,,,TRUE,1,7,30
CH01,28,جبنة جودة,Gouda cheese,,,6,2,4,,,,TRUE,1,7,30
CH02,29,جبنة شيدر,Cheddar cheese,,,6,2,4,,,,TRUE,1,7,30
CH03,30,جبنة فلمنك,Edam cheese,,,6,2,4,,,,TRUE,1,7,30
CH04,31,جبنة موتزاريلا,Mozzarella cheese,,,6,2,4,,,,TRUE,1,7,30
CH05,84,جبنة ريكفورد,Roquefort cheese,,,6,2,4,,,,TRUE,1,7,30
CH06,85,جبنة كشكفال,Kashkaval cheese,,,6,2,4,,,,TRUE,1,7,30
FR01,39,برقوق طازج,Fresh plums,,,7,3,3,,,,TRUE,1,2,8
FR02,36,تفاح مقشّر,Peeled apple,,,7,4,4,,,,TRUE,1,1,4
FR03,32,تمر,Dates,,,7,1,5,,,,TRUE,2,14,60
FR04,41,تين طازج,Fresh figs,,,7,3,4,,,,TRUE,1,2,8
FR05,35,رمان طازج,Fresh pomegranate,,,7,3,4,,,,TRUE,1,2,8
FR06,42,زبيب,Raisins,,,7,3,3,,,,TRUE,1,2,8
FR07,43,عصير جوافة معلب طبيعي,Natural canned guava juice,,,7,3,3,,,,TRUE,1,2,8
FR08,34,عنب أسود,Black grapes,,,7,3,4,,,,TRUE,1,2,8
FR09,37,فراولة طازجة,Fresh strawberries,,,7,3,3,,,,TRUE,1,2,8
FR10,38,كرز طازج,Fresh cherries,,,7,3,4,,,,TRUE,1,2,8
FR11,40,مشمش طازج,Fresh apricots,,,7,3,3,,,,TRUE,1,2,8
FR12,33,موز,Banana,,,7,3,4,,,,TRUE,1,2,8
FR13,86,عصير عنب معلب طبيعي,Natural canned grape juice,,,7,3,3,,,,TRUE,1,2,8
FR14,87,عصير كريز معلب طبيعي,Natural canned cherry juice,,,7,3,3,,,,TRUE,1,2,8
FR15,88,عصير توت معلب طبيعي,Natural canned mulberry juice,,,7,3,3,,,,TRUE,1,2,8
FR16,89,قمر الدين المعلب,Canned apricot nectar,,,7,3,3,,,,TRUE,1,2,8
