code,id,name,name_en,description,description_en,category,zone,rating,frequency,notes,image_url,active
CB01,1,أرز أبيض,White rice,يُطهى بالماء فقط بدون ملح أو ثوم,Cook in water only without salt or garlic,1,1,,daily_basic,,,True
CB02,3,أرز بالشعيرية,Vermicelli rice,تُحمَّر الشعيرية بالزبدة البلدي أولًا ثم يُضاف الأرز مع الماء,Brown vermicelli in country butter first then add rice with water,1,1,,daily_basic,,,True
CB03,4,أرز بالمكسرات,Rice with nuts,أرز مطبوخ مع مكسرات طبيعية ضمن الأشكال المسموحة لتقديم الأرز,Rice cooked with natural nuts as one of the permitted forms of serving rice,1,3,,daily_basic,,,True
CB04,2,أرز بسمتي,Basmati rice,يُطهى بالماء فقط بدون ملح أو ثوم,Cook in water only without salt or garlic,1,1,,daily_basic,,,True
CB05,8,بطاطا حلوة مشوية,Roasted sweet potato,مشوية بالملح فقط,Roasted with salt only,1,4,,daily_basic,,,True
CB06,9,بطاطا حلوة مهروسة,Mashed sweet potato,مهروسة بالزبدة البلدي أو السمن,Mashed with country butter or ghee,1,4,,daily_basic,,,True
CB07,6,بطاطس مسلوقة,Boiled potatoes,مسلوقة بالماء مع الملح فقط,Boiled in water with salt only,1,1,,daily_basic,,,True
CB08,66,بطاطس مقلية,Fried potatoes,بطاطس طبيعية مقلية أو شيبسي طبيعي محضّر من البطاطس فقط دون إضافات صناعية,Natural fried potatoes or homemade chips from potatoes only without artificial additives,1,1,,daily_basic,,,True
CB09,7,بطاطس مهروسة,Mashed potatoes,مهروسة بالزبدة البلدي مع الملح فقط,Mashed with country butter and salt only,1,1,,daily_basic,,,True
CB10,5,توست قمح كامل الحبة,Whole wheat toast,توست قمح كامل الحبة يُفضّل تقديمه مع الزبدة البلدي وبكميات معتدلة,Whole grain wheat toast preferably served with country butter in moderate amounts,1,2,,daily_basic,,,True
CB11,70,حبات ذرة مشوية,Roasted corn kernels,حبات ذرة طبيعية مشوية بدون نكهات أو إضافات صناعية,Natural roasted corn kernels without artificial flavors or additives,1,3,,weekly,,,True
CB12,10,فشار ذرة طبيعي,Natural popcorn,ذرة طبيعية بدون ملح صناعي أو نكهات مضافة,Natural corn without artificial salt or added flavors,1,3,,weekly,أسبوعيًا بديلًا عن المخبوزات الصناعية,,True
MT01,65,شوربة لحم,Meat broth,شوربة لحم طبيعية مطبوخة بالماء والملح وزيت الزيتون فقط,Natural meat broth cooked with water salt and olive oil only,2,3,,weekly,,,True
MT02,18,كبدة مسلوقة,Boiled liver,كبدة الأنعام (بقر أو ضأن أو إبل) مسلوقة - ليس دجاج,Livestock liver (beef lamb or camel) boiled - not chicken,2,3,,weekly,,,True
MT03,67,كفتة لحم بقري,Beef kofta,لحم بقري مفروم ومشوي مع الملح وزيت الزيتون فقط,Grilled minced beef with salt and olive oil only,2,3,,weekly,,,True
MT04,68,كفتة لحم خروف,Lamb kofta,لحم خروف مفروم ومشوي مع الملح وزيت الزيتون فقط,Grilled minced lamb with salt and olive oil only,2,3,,weekly,,,True
MT05,17,لحم أرانب مسلوق,Boiled rabbit,أرانب مسلوقة بالماء والملح فقط,Rabbit boiled in water with salt only,2,3,,weekly,,,True
MT06,14,لحم إبل مسلوق,Boiled camel meat,إبل مسلوق جيدًا بالماء والملح فقط,Camel meat well boiled in water with salt only,2,3,,weekly,,,True
MT07,11,لحم بتلو مسلوق,Boiled beef,مسلوق جيدًا مع الملح وزيت الزيتون فقط,Well boiled with salt and olive oil only,2,3,,weekly,,,True
MT08,13,لحم ضأن مسلوق,Boiled lamb,مسلوق مع الملح وزيت الزيتون فقط,Boiled with salt and olive oil only,2,3,,weekly,,,True
MT09,12,لحم ضأن مشوي,Grilled lamb,مشوي مع الملح وزيت الزيتون فقط,Grilled with salt and olive oil only,2,3,,weekly,,,True
MT10,15,لحم ماعز مسلوق,Boiled goat meat,مسلوق مع الملح والزيت فقط,Boiled with salt and oil only,2,3,,weekly,,,True
MT11,16,لحم ماعز مشوي,Grilled goat meat,مشوي مع الملح والزيت فقط,Grilled with salt and oil only,2,3,,weekly,,,True
MT12,19,محشي كوسا وباذنجان وفلفل بالأرز,Stuffed zucchini eggplant and pepper with rice,خضروات مطبوخة ومحشية بالأرز وتُعد من الأصناف المسموحة على فترات متباعدة,Vegetables stuffed with rice cooked in water with salt and oil as an occasionally permitted dish,2,4,,occasionally,مرة شهريًا كحد أقصى - الخضروات مطبوخة محشية فقط,,True
MT13,82,الممبار المحشي,Stuffed sausage casing,أمعاء الأنعام محشوة باللحم المفروم ومطبوخة بالماء والملح,Livestock intestine casing stuffed with minced meat cooked in water with salt,2,3,,weekly,,,True
MT14,83,كوارع الأنعام المسلوقة,Boiled livestock trotters,كوارع بقر أو ضأن مسلوقة جيدًا بالماء والملح فقط,Beef or lamb trotters well boiled in water with salt only,2,3,,weekly,,,True
FS01,22,تونة بحرية طبيعية مشوية,Grilled natural sea tuna,تونة من البحر المفتوح طبيعية مشوية بالملح والزيت,Natural open-ocean tuna grilled with salt and oil,3,3,,weekly,,,True
FS02,20,سمك سردين بحري مشوي,Grilled sea sardine,سردين من البحر الطبيعي فقط لا من المزارع مشوي بالملح والزيت,Sardine from natural sea only not farms grilled with salt and oil,3,3,,weekly,,,True
FS03,21,سمك ماكريل بحري مشوي,Grilled sea mackerel,ماكريل من البحر الطبيعي فقط مشوي بالملح والزيت,Mackerel from natural sea only grilled with salt and oil,3,3,,weekly,,,True
BD01,69,حمام محشي,Stuffed pigeon,حمام طائر محشي بالأرز ومطبوخ بالماء والملح والزيت فقط,Flying pigeon stuffed with rice cooked in water with salt and oil only,4,4,,occasionally,أحيانًا - مرة شهريًا كحد أقصى,,True
BD02,23,حمام مشوي,Grilled pigeon,حمام طائر يتغذى على الحبوب النظيفة مشوي بالملح والزيت,Flying pigeon feeding on clean grains grilled with salt and oil,4,3,,weekly,,,True
BD03,24,سمان مشوي,Grilled quail,طائر مهاجر طبيعي مشوي بالملح والزيت,Natural migratory quail bird grilled with salt and oil,4,3,,weekly,,,True
DF01,25,زبدة بلدي,Country butter,زبدة بلدي طازجة طبيعية,Fresh natural country butter,5,1,,daily_basic,,,True
DF02,26,سمن بلدي,Country ghee,سمن بلدي طبيعي مصفى,Natural clarified country ghee,5,1,,daily_basic,,,True
DF03,27,قشطة طبيعية,Natural cream,قشطة طبيعية بلدي,Natural country cream,5,1,,daily_basic,,,True
DF04,71,سكر طبيعي,Natural sugar,سكر طبيعي بكميات معتدلة لا تتجاوز خمس عشرة ملعقة يومياً,Natural sugar in moderate amounts not exceeding fifteen spoons daily,5,1,,daily_basic,,,True
CH01,28,جبنة جودة,Gouda cheese,جبن مطبوخ ومخمَّر من الأنواع المسموحة في نظام الطيبات,Cooked fermented cheese from permitted types in Al-Tayebaat system,6,2,,weekly,تُقدَّم دائمًا مع زيتون كالاماتا,,True
CH02,29,جبنة شيدر,Cheddar cheese,جبن مطبوخ ومخمَّر من الأنواع المسموحة في نظام الطيبات,Cooked fermented cheese from permitted types in Al-Tayebaat system,6,2,,weekly,تُقدَّم دائمًا مع زيتون كالاماتا,,True
CH03,30,جبنة فلمنك,Edam cheese,جبن مطبوخ ومخمَّر من الأنواع المسموحة في نظام الطيبات,Cooked fermented cheese from permitted types in Al-Tayebaat system,6,2,,weekly,تُقدَّم دائمًا مع زيتون كالاماتا,,True
CH04,31,جبنة موتزاريلا,Mozzarella cheese,جبن مطبوخ ومخمَّر من الأنواع المسموحة في نظام الطيبات,Cooked fermented cheese from permitted types in Al-Tayebaat system,6,2,,weekly,تُقدَّم دائمًا مع زيتون كالاماتا,,True
CH05,84,جبنة ريكفورد,Roquefort cheese,جبن مطبوخ ومخمَّر من الأنواع المسموحة في نظام الطيبات,Cooked fermented cheese from permitted types in Al-Tayebaat system,6,2,,weekly,,,True
CH06,85,جبنة كشكفال,Kashkaval cheese,جبن مطبوخ ومخمَّر من الأنواع المسموحة في نظام الطيبات,Cooked fermented cheese from permitted types in Al-Tayebaat system,6,2,,weekly,,,True
FR01,39,برقوق طازج,Fresh plums,طازج,Fresh,7,3,,weekly,,,True
FR02,36,تفاح مقشّر,Peeled apple,يُقشَّر دائمًا قبل الأكل ولا يُؤكل بقشره,Always peeled before eating never with peel,7,4,,weekly,,,True
FR03,32,تمر,Dates,سبع تمرات على الريق,Seven dates on empty stomach,7,1,,daily,,,True
FR04,41,تين طازج,Fresh figs,تين طازج طبيعي,Fresh natural figs,7,3,,weekly,,,True
FR05,35,رمان طازج,Fresh pomegranate,طازج بدون بذور,Fresh without seeds,7,3,,weekly,,,True
FR06,42,زبيب,Raisins,فاكهة مجففة طبيعية بكميات معتدلة,Natural dried fruit in moderate amounts,7,3,,weekly,,,True
