code,id,name,name_en,description,description_en,category,zone,rating,frequency,notes,image_url,active,max_day_frequency,max_week_frequency,max_month_frequency
CB01,1,أرز أبيض,White rice,,,1,1,,,,,TRUE,2,,
CB02,3,أرز بالشعيرية,Vermicelli rice,,,1,1,,,,,TRUE,2,,
CB03,4,أرز بالمكسرات,Rice with nuts,,,1,3,,,,,TRUE,2,,
CB04,2,أرز بسمتي,Basmati rice,,,1,1,,,,,TRUE,2,,
CB05,8,بطاطا حلوة مشوية,Roasted sweet potato,,,1,4,,,,,TRUE,1,,
CB06,9,بطاطا حلوة مهروسة,Mashed sweet potato,,,1,4,,,,,TRUE,1,,
CB07,6,بطاطس مسلوقة,Boiled potatoes,,,1,1,,,,,TRUE,2,,
CB08,66,بطاطس مقلية,Fried potatoes,,,1,1,,,,,TRUE,2,,
CB09,7,بطاطس مهروسة,Mashed potatoes,,,1,1,,,,,TRUE,2,,
CB10,5,توست قمح كامل الحبة,Whole wheat toast,,,1,2,,,,,TRUE,1,,
CB11,70,حبات ذرة مشوية,Roasted corn kernels,,,1,3,,,,,TRUE,1,,
CB12,10,فشار ذرة طبيعي,Natural popcorn,,,1,3,,,,,TRUE,1,,
MT01,65,شوربة لحم,Meat broth,,,2,3,,,,,TRUE,1,,
MT02,18,كبدة مسلوقة,Boiled liver,,,2,3,,,,,TRUE,1,,
MT03,67,كفتة لحم بقري,Beef kofta,,,2,3,,,,,TRUE,1,,
MT04,68,كفتة لحم خروف,Lamb kofta,,,2,3,,,,,TRUE,1,,
MT05,17,لحم أرانب مسلوق,Boiled rabbit,,,2,3,,,,,TRUE,1,,
MT06,14,لحم إبل مسلوق,Boiled camel meat,,,2,3,,,,,TRUE,1,,
MT07,11,لحم بتلو مسلوق,Boiled beef,,,2,3,,,,,TRUE,1,,
MT08,13,لحم ضأن مسلوق,Boiled lamb,,,2,3,,,,,TRUE,1,,
MT09,12,لحم ضأن مشوي,Grilled lamb,,,2,3,,,,,TRUE,1,,
MT10,15,لحم ماعز مسلوق,Boiled goat meat,,,2,3,,,,,TRUE,1,,
MT11,16,لحم ماعز مشوي,Grilled goat meat,,,2,3,,,,,TRUE,1,,
MT12,19,محشي كوسا وباذنجان وفلفل بالأرز,Stuffed zucchini eggplant and pepper with rice,,,2,4,,,,,TRUE,1,,
MT13,82,الممبار المحشي,Stuffed sausage casing,,,2,3,,,,,TRUE,1,,
MT14,83,كوارع الأنعام المسلوقة,Boiled livestock trotters,,,2,3,,,,,TRUE,1,,
FS01,22,تونة بحرية طبيعية مشوية,Grilled natural sea tuna,,,3,3,,,,,TRUE,1,,
FS02,20,سمك سردين بحري مشوي,Grilled sea sardine,,,3,3,,,,,TRUE,1,,
FS03,21,سمك ماكريل بحري مشوي,Grilled sea mackerel,,,3,3,,,,,TRUE,1,,
BD01,69,حمام محشي,Stuffed pigeon,,,4,4,,,,,TRUE,1,,
BD02,23,حمام مشوي,Grilled pigeon,,,4,3,,,,,TRUE,1,,
BD03,24,سمان مشوي,Grilled quail,,,4,3,,,,,TRUE,1,,
DF01,25,زبدة بلدي,Country butter,,,5,1,,,,,TRUE,1,,
DF02,26,سمن بلدي,Country ghee,,,5,1,,,,,TRUE,1,,
DF03,27,قشطة طبيعية,Natural cream,,,5,1,,,,,TRUE,1,,
DF04,71,سكر طبيعي,Natural sugar,,,5,1,,,,,TRUE,1,,
CH01,28,جبنة جودة,Gouda cheese,,,6,2,,,,,TRUE,1,,
CH02,29,جبنة شيدر,Cheddar cheese,,,6,2,,,,,TRUE,1,,
CH03,30,جبنة فلمنك,Edam cheese,,,6,2,,,,,TRUE,1,,
CH04,31,جبنة موتزاريلا,Mozzarella cheese,,,6,2,,,,,TRUE,1,,
CH05,84,جبنة ريكفورد,Roquefort cheese,,,6,2,,,,,TRUE,1,,
CH06,85,جبنة كشكفال,Kashkaval cheese,,,6,2,,,,,TRUE,1,,
FR01,39,برقوق طازج,Fresh plums,,,7,3,,,,,TRUE,1,,
FR02,36,تفاح مقشّر,Peeled apple,,,7,4,,,,,TRUE,1,,
FR03,32,تمر,Dates,,,7,1,,,,,TRUE,1,,
FR04,41,تين طازج,Fresh figs,,,7,3,,,,,TRUE,1,,
FR05,35,رمان طازج,Fresh pomegranate,,,7,3,,,,,TRUE,1,,
FR06,42,زبيب,Raisins,,,7,3,,,,,TRUE,1,,
FR07,43,عصير جوافة معلب طبيعي,Natural canned guava juice,,,7,3,,,,,TRUE,1,,
FR08,34,عنب أسود,Black grapes,,,7,3,,,,,TRUE,1,,
FR09,37,فراولة طازجة,Fresh strawberries,,,7,3,,,,,TRUE,1,,
FR10,38,كرز طازج,Fresh cherries,,,7,3,,,,,TRUE,1,,
FR11,40,مشمش طازج,Fresh apricots,,,7,3,,,,,TRUE,1,,
FR12,33,موز,Banana,,,7,3,,,,,TRUE,1,,
FR13,86,عصير عنب معلب طبيعي,Natural canned grape juice,,,7,3,,,,,TRUE,1,,
FR14,87,عصير كريز معلب طبيعي,Natural canned cherry juice,,,7,3,,,,,TRUE,1,,
FR15,88,عصير توت معلب طبيعي,Natural canned mulberry juice,,,7,3,,,,,TRUE,1,,
FR16,89,قمر الدين المعلب,Canned apricot nectar,,,7,3,,,,,TRUE,1,,
FR17,90,جوافة طازجة بدون بذر,Fresh seedless guava,,,7,4,,,,,TRUE,1,,
FR18,91,توت مجفف,Dried mulberries,,,7,3,,,,,TRUE,1,,
FR19,92,تين مجفف,Dried figs,,,7,3,,,,,TRUE,1,,
NT01,47,عين الجمل,Walnuts,,,8,3,,,,,TRUE,1,,
NT02,46,فستق,Pistachios,,,8,3,,,,,TRUE,1,,
NT03,48,فول سوداني,Peanuts,,,8,3,,,,,TRUE,1,,
NT04,45,كاجو,Cashews,,,8,3,,,,,TRUE,1,,
NT05,44,لوز,Almonds,,,8,4,,,,,TRUE,1,,
SW01,55,حلاوة طحينية غامقة,Dark tahini halva,,,9,3,,,,,TRUE,1,,
SW02,56,شوكولاتة داكنة 70%,Dark chocolate 70%+,,,9,2,,,,,TRUE,1,,
SW03,50,عسل أسود (دبس),Black honey (molasses),,,9,3,,,,,TRUE,1,,
SW04,49,عسل طبيعي,Natural honey,,,9,2,,,,,TRUE,1,,
SW05,52,مربى تين طبيعية,Natural fig jam,,,9,4,,,,,TRUE,1,,
SW06,54,مربى فراولة طبيعية,Natural strawberry jam,,,9,4,,,,,TRUE,1,,
SW07,53,مربى مشمش طبيعية,Natural apricot jam,,,9,4,,,,,TRUE,1,,
SW08,51,نوتيلا,Nutella,,,9,2,,,,,TRUE,1,,
SW09,72,شمع العسل,Honeycomb,,,9,3,,,,,TRUE,1,,
SW10,73,غذاء ملكات النحل,Royal jelly,,,9,3,,,,,TRUE,1,,
SW11,74,حبوب اللقاح الطبيعية,Natural bee pollen,,,9,3,,,,,TRUE,1,,
SW12,75,اللبان الذكر (الكُندر),Frankincense (Boswellia),,,9,3,,,,,TRUE,1,,
SW13,76,المستكة اليونانية,Greek mastic,,,9,3,,,,,TRUE,1,,
SW14,77,حلاوة المولد (نوجا),Nougat halva,,,9,3,,,,,TRUE,1,,
OL01,57,زيتون كالاماتا,Kalamata olives,,,10,3,,,,,TRUE,1,,
DR01,58,شاي أخضر,Green tea,,,11,3,,,,,TRUE,1,,
DR02,59,قهوة تركية,Turkish coffee,,,11,2,,,,,TRUE,1,,
DR03,60,ماء دافئ,Warm water,,,11,1,,,,,TRUE,1,,
HB01,61,شاي زعتر,Thyme tea,,,12,3,,,,,TRUE,1,,
HB02,62,كراوية دافئة,Warm caraway tea,,,12,3,,,,,TRUE,1,,
HB03,63,ينسون دافئ,Warm anise tea,,,12,3,,,,,TRUE,1,,
HB04,78,كمون دافئ,Warm cumin tea,,,12,3,,,,,TRUE,1,,
OI01,64,زيت زيتون,Olive oil,,,13,1,,,,,TRUE,1,,
OI02,79,زيت الذرة وعباد الشمس,Corn and sunflower oil,,,13,1,,,,,TRUE,1,,
OI03,80,خل قصب السكر الطبيعي,Natural sugarcane vinegar,,,13,3,,,,,TRUE,1,,
OI04,81,خل التفاح الطبيعي,Natural apple cider vinegar,,,13,3,,,,,TRUE,1,,
OI05,,شاى اخضر,,,,,,,,,,,,,
