code,name,meal_item_codes,prompt
M001,صيام,,"Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. the plate lies empty, symbolizing fasting and spiritual wellness. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M002,توست قمح كامل + زبدة بلدي + عسل طبيعي,"CB10,DF01,SW04","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, melting pat of golden country butter, natural honey drizzle. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M003,ارز ابيض + بطاطس مسلوقة  + زبدة بلدى,"CB01,CB07,DF01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, boiled potatoes, melting pat of golden country butter. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M004,ارز ابيض + بطاطس مقلية  + زبدة بلدى,"CB01,CB08,DF01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, golden pan-fried seasoned potato cubes, melting pat of golden country butter. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M005,توست قمح كامل + جبنة جودة + زيتون كالاماتا,"CB10,CH01,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, Gouda cheese, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M006,بطاطا حلوة مشوية + عسل اسود + سمن بلدي,"CB05,SW03,DF02","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. roasted sweet potato, molasses syrup, country ghee. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M007,توست قمح كامل + نوتيلا,"CB10,SW08","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, Nutella spread. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M008,توست قمح كامل  + مربى تين,"CB10,SW05","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, fig jam. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M009,توست قمح كامل + جبنة شيدر + زيتون كالاماتا,"CB10,CH02,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, Cheddar cheese, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M010,توست قمح كامل + بطاطس مسلوقة + سمن بلدي,"CB10,CB07,DF02","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, boiled potatoes, country ghee. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
