id,name,name_en,description,description_en,meal_item_ids,zone,image_url,meal_type_ids,active
1,صيام (سنة),Sunnah Fasting,يوم صيام سنة النبي ﷺ - الاثنين والخميس - يُفطر على تمر وماء دافئ,Prophetic fasting day Monday or Thursday - break fast with dates and warm water,,1,,1,true
2,توست قمح كامل + زبدة بلدي + عسل طبيعي,Whole wheat toast + country butter + natural honey,فطار أساسي من الطيبات,Classic Al-Tayebaat breakfast,"5,25,49",2,,1,true
3,بطاطس مهروسة + زبدة بلدي,Mashed potatoes + country butter,فطار بسيط ومغذٍّ,Simple nourishing breakfast,"7,25",1,,1,true
4,توست قمح كامل + جبنة جودة + زيتون كالاماتا,Whole wheat toast + Gouda cheese + Kalamata olives,جبنة مطبوخة مختمرة مع زيتون - دائمًا معًا,Cooked fermented cheese with olives - always together,"5,28,57",3,,1,true
5,بطاطا حلوة مشوية + سمن بلدي,Roasted sweet potato + country ghee,فطار أساسي بالبطاطا الحلوة المشوية,Basic roasted sweet potato breakfast,"8,26",4,,1,true
6,توست قمح كامل + نوتيلا,Whole wheat toast + Nutella,فطار بالنوتيلا - صباح وليل فقط,Nutella breakfast - morning and evening only,"5,51",2,,1,true
7,توست قمح كامل + زبدة بلدي + مربى تين,Whole wheat toast + country butter + natural fig jam,فطار بمربى التين الطبيعية - أسبوعيًا,Breakfast with natural fig jam - weekly,"5,25,52",4,,1,true
8,توست قمح كامل + جبنة شيدر + زيتون كالاماتا,Whole wheat toast + Cheddar cheese + Kalamata olives,جبنة شيدر مطبوخة مع زيتون - دائمًا معًا,Cooked Cheddar cheese with olives - always together,"5,29,57",3,,1,true
9,بطاطس مسلوقة + سمن بلدي,Boiled potatoes + country ghee,فطار بالبطاطس المسلوقة والسمن البلدي,Breakfast with boiled potatoes and country ghee,"6,26",1,,1,true
10,بطاطا حلوة مهروسة + زبدة بلدي + عسل أسود,Mashed sweet potato + country butter + black honey,مهروسة بالزبدة والعسل الأسود - مصدر حديد طبيعي,Mashed with butter and molasses - natural iron source,"9,25,50",4,,1,true
11,توست قمح كامل + زبدة بلدي + مربى مشمش,Whole wheat toast + country butter + natural apricot jam,فطار بمربى المشمش الطبيعية - أسبوعيًا,Breakfast with natural apricot jam - weekly,"5,25,53",4,,1,true
12,بطاطس مسلوقة + زبدة بلدي,Boiled potatoes + country butter,فطار بسيط ومغذٍّ,Simple nourishing breakfast,"6,25",1,,1,true
13,توست قمح كامل + جبنة فلمنك + زيتون كالاماتا,Whole wheat toast + Edam cheese + Kalamata olives,جبنة فلمنك مطبوخة مع زيتون - دائمًا معًا,Cooked Edam cheese with olives - always together,"5,30,57",3,,1,true
14,توست قمح كامل + جبنة موتزاريلا + زيتون كالاماتا,Whole wheat toast + Mozzarella cheese + Kalamata olives,جبنة موتزاريلا مطبوخة مع زيتون - دائمًا معًا,Cooked Mozzarella cheese with olives - always together,"5,31,57",3,,1,true
15,بطاطا حلوة مهروسة + سمن بلدي + عصير جوافة,Mashed sweet potato + country ghee + natural canned guava juice,مهروسة بالسمن مع عصير الجوافة المعلب الطبيعي,Mashed with ghee with natural canned guava juice,"9,26,43",4,,1,true
16,توست قمح كامل + زبدة بلدي + مربى فراولة,Whole wheat toast + country butter + natural strawberry jam,فطار بمربى الفراولة الطبيعية - أسبوعيًا,Breakfast with natural strawberry jam - weekly,"5,25,54",4,,1,true
17,بطاطا حلوة مشوية + سمن بلدي + عسل أسود,Roasted sweet potato + country ghee + black honey,مشوية بالسمن والعسل الأسود - مصدر حديد طبيعي,Roasted with ghee and molasses - natural iron source,"8,26,50",4,,1,true
18,أرز أبيض + لحم بتلو مسلوق,White rice + boiled beef,أرز أبيض مطبوخ بالماء + لحم بتلو مسلوق بالملح والزيت - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,White rice cooked in water and beef boiled with salt and oil - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"1,11",3,,2,true
19,أرز أبيض + كبدة مسلوقة,White rice + boiled liver,أرز أبيض + كبدة الأنعام المسلوقة - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,White rice and boiled livestock liver - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"1,18",3,,2,true
20,أرز بسمتي + سمك سردين بحري مشوي,Basmati rice + grilled sea sardine,أرز بسمتي + سردين بحري طبيعي مشوي بالملح والزيت - يُنصح بأسماك البحر الحرة الطازجة: دنيس • لوت • مكرونة,Basmati rice and natural sea sardine grilled with salt and oil - Preferred free-sea fish: sea bream (denise) • grouper (lout) • barracuda (makarona),"2,20",3,,2,true
