id,name,name_en,description,description_en,category,zone,rating,frequency,notes,image_url,active
1,أرز أبيض,White rice,يُطهى بالماء فقط بدون ملح أو ثوم,Cook in water only without salt or garlic,1,1,,daily_basic,,,true
2,أرز بسمتي,Basmati rice,يُطهى بالماء فقط بدون ملح أو ثوم,Cook in water only without salt or garlic,1,1,,daily_basic,,,true
3,أرز بالشعيرية,Vermicelli rice,تُحمَّر الشعيرية بالزبدة البلدي أولًا ثم يُضاف الأرز مع الماء,Brown vermicelli in country butter first then add rice with water,1,1,,daily_basic,,,true
4,أرز بالمكسرات,Rice with nuts,أرز أبيض مطبوخ بالماء مع مكسرات طبيعية,White rice cooked in water with natural nuts,1,3,,daily_basic,,,true
5,توست قمح كامل الحبة,Whole wheat toast,توست من قمح كامل الحبة بكميات معقولة,Whole grain wheat toast in moderate amounts,1,2,,daily_basic,,,true
6,بطاطس مسلوقة,Boiled potatoes,مسلوقة بالماء مع الملح فقط,Boiled in water with salt only,1,1,,daily_basic,,,true
7,بطاطس مهروسة,Mashed potatoes,مهروسة بالزبدة البلدي مع الملح فقط,Mashed with country butter and salt only,1,1,,daily_basic,,,true
8,بطاطا حلوة مشوية,Roasted sweet potato,مشوية بالملح فقط,Roasted with salt only,1,4,,daily_basic,,,true
9,بطاطا حلوة مهروسة,Mashed sweet potato,مهروسة بالزبدة البلدي أو السمن,Mashed with country butter or ghee,1,4,,daily_basic,,,true
10,فشار ذرة طبيعي,Natural popcorn,ذرة طبيعية بدون ملح صناعي أو نكهات مضافة,Natural corn without artificial salt or added flavors,1,3,,weekly,أسبوعيًا بديلًا عن المخبوزات الصناعية,,true
11,لحم بتلو مسلوق,Boiled beef,مسلوق جيدًا مع الملح وزيت الزيتون فقط,Well boiled with salt and olive oil only,2,3,,weekly,,,true
12,لحم ضأن مشوي,Grilled lamb,مشوي مع الملح وزيت الزيتون فقط,Grilled with salt and olive oil only,2,3,,weekly,,,true
13,لحم ضأن مسلوق,Boiled lamb,مسلوق مع الملح وزيت الزيتون فقط,Boiled with salt and olive oil only,2,3,,weekly,,,true
14,لحم إبل مسلوق,Boiled camel meat,من أفضل اللحوم في نظام الطيبات - مسلوق جيدًا,Among the best meats in Al-Tayebaat system - well boiled,2,3,,weekly,,,true
15,لحم ماعز مسلوق,Boiled goat meat,مسلوق مع الملح والزيت فقط,Boiled with salt and oil only,2,3,,weekly,,,true
16,لحم ماعز مشوي,Grilled goat meat,مشوي مع الملح والزيت فقط,Grilled with salt and oil only,2,3,,weekly,,,true
17,لحم أرانب مسلوق,Boiled rabbit,بروتين خفيف سهل الهضم - مسلوق,Light protein easy to digest - boiled,2,3,,weekly,,,true
18,كبدة مسلوقة,Boiled liver,كبدة الأنعام (بقر أو ضأن أو إبل) - مسلوقة - ليس دجاج,Livestock liver (beef lamb or camel) - boiled - not chicken,2,3,,weekly,,,true
